id,model,color
0,jig,jig
1,avanza,1g3
2,avanza,1g3
3,avanza,3q3
4,avanza,3q3
5,avanza,g64
6,avanza,g64
7,avanza,s28
8,avanza,s28
9,avanza,w09
10,avanza,w09
11,avanza,x12
12,avanza,x12
13,veloz,1g3
14,veloz,1g3
15,veloz,3q3
16,veloz,3q3
17,veloz,x12
18,veloz,x12
19,calya,1g3
20,calya,1g3
21,calya,3q3
22,calya,3q3
23,calya,4t3
24,calya,4t3
25,calya,s28
26,calya,s28
27,calya,w09
28,calya,w09
29,calya,x12
30,calya,x12
31,yaris,6w2
32,yaris,6w2
33,veloz,089
34,veloz,089
35,yaris,040
36,yaris,040
37,d03b,b88
38,d03b,b88
39,d03b,b88
40,d03b,g64
41,d03b,g64
42,d03b,g64
43,d03b,s28
44,d03b,s28
45,d03b,s28
46,d03b,218
47,d03b,218
48,d03b,218
